"id","source","pmid","pmcid","DOI","title","authorString","journalTitle","issue","journalVolume","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","luceneScore","tmAccessionTypeList","dbCrossReferenceList","dvcs"
"25599627","MED","25599627","PMC4319144","10.2196/mhealth.3672","Exploring the Far Side of Mobile Health: Information Security and Privacy of Mobile Health Apps on iOS and Android.","Dehling T, Gao F, Schneider S, Sunyaev A.","JMIR Mhealth Uhealth","1","3","2015","2291-5222","e8","journal article; research-article","Y","Y","N","0","N","Y","N","N","N","724.06165",NA,NA,"code.google.com"
"25652942","MED","25652942","PMC4316181","10.1093/database/bau131","Merging and scoring molecular interactions utilising existing community standards: tools, use-cases and a case study.","Villaveces JM, JimÃ©nez RC, Porras P, Del-Toro N, Duesbury M, Dumousseau M, Orchard S, Choi H, Ping P, Zong NC, Askenazi M, Habermann BH, Hermjakob H.","Database (Oxford)",NA,"2015","2015","1758-0463",NA,"journal article; research-article","Y","Y","N","0","N","Y","N","N","N","722.7624",NA,NA,"code.google.com"
"25589474","MED","25589474","PMC4295094","10.1038/srep07813","qPMS9: An Efficient Algorithm for Quorum Planted Motif Search.","Nicolae M, Rajasekaran S.","Sci Rep",NA,"5","2015","2045-2322","7813","journal article; research-article","Y","Y","N","0","Y","Y","N","N","N","722.2989",NA,NA,"code.google.com"
"25625228","MED","25625228","PMC4313632","10.3201/eid2102.140290","Potentially novel ehrlichia species in horses, nicaragua.","O'Nion VL, Montilla HJ, Qurollo BA, Maggi RG, Hegarty BC, Tornquist SJ, Breitschwerdt EB.","Emerg Infect Dis","2","21","2015","1080-6040","335-338","journal article; brief-report","Y","Y","N","0","Y","Y","N","N","Y","722.0092","gen",NA,"code.google.com"
"25260700","MED","25260700","PMC4287950","10.1093/bioinformatics/btu638","HTSeq-a Python framework to work with high-throughput sequencing data.","Anders S, Pyl PT, Huber W.","Bioinformatics","2","31","2015","1367-4803","166-169","journal article; research-article","Y","Y","N","10","Y","Y","N","N","N","721.5684",NA,NA,"code.google.com"
"25635682","MED","25635682","PMC4312042","10.1371/journal.pone.0116801","Genealogical Relationships between Early Medieval and Modern Inhabitants of Piedmont.","Vai S, Ghirotto S, Pilli E, Tassi F, Lari M, Rizzi E, Matas-Lalueza L, Ramirez O, Lalueza-Fox C, Achilli A, Olivieri A, Torroni A, Lancioni H, Giostra C, Bedini E, Baricco LP, Matullo G, Di Gaetano C, Piazza A, Veeramah K, Geary P, Caramelli D, Barbujani G.","PLoS One","1","10","2015","1932-6203","e0116801","journal article; research-article","Y","Y","N","0","N","Y","Y","N","N","721.3636",NA,"EMBL","code.google.com"
"25634031","MED","25634031","PMC4311254","10.1038/srep08141","Transcriptome analysis of sexually dimorphic chinese white wax scale insects reveals key differences in developmental programs and transcription factor expression.","Yang P, Chen XM, Liu WW, Feng Y, Sun T.","Sci Rep",NA,"5","2015","2045-2322","8141","journal article; research-article","Y","Y","N","0","Y","Y","N","N","N","721.3479",NA,NA,"code.google.com"
"25505034","MED","25505034","PMC4301748","10.1093/pcp/pcu188","Plant Omics Data Center: An Integrated Web Repository for Interspecies Gene Expression Networks with NLP-Based Curation.","Ohyanagi H, Takano T, Terashima S, Kobayashi M, Kanno M, Morimoto K, Kanegae H, Sasaki Y, Saito M, Asano S, Ozaki S, Kudo T, Yokoyama K, Aya K, Suwabe K, Suzuki G, Aoki K, Kubo Y, Watanabe M, Matsuoka M, Yano K.","Plant Cell Physiol","1","56","2015","0032-0781","e9","journal article; research-article","Y","Y","N","0","Y","Y","N","N","N","721.3479",NA,NA,"code.google.com"
"25668033","MED","25668033","PMC4323105","10.1371/journal.pone.0108917","A Deletion in the VLDLR Gene in Eurasier Dogs with Cerebellar Hypoplasia Resembling a Dandy-Walker-Like Malformation (DWLM).","Gerber M, Fischer A, Jagannathan V, DrÃ¶gemÃ¼ller M, DrÃ¶gemÃ¼ller C, Schmidt MJ, Bernardino F, Manz E, Matiasek K, Rentmeister K, Leeb T.","PLoS One","2","10","2015","1932-6203","e0108917","journal article; research-article","Y","Y","N","0","N","Y","N","N","N","721.3479",NA,NA,"code.google.com"
"25694791","MED","25694791","PMC4331374","10.1186/s13007-015-0050-1","Multiscale imaging of plants: current approaches and challenges.","Rousseau D, ChÃ©nÃ© Y, Belin E, Semaan G, Trigui G, Boudehri K, Franconi F, Chapeau-Blondeau F.","Plant Methods",NA,"11","2015","1746-4811","6","journal article; research-article","Y","Y","N","0","N","Y","N","N","N","721.3479",NA,NA,"code.google.com"
"25568947","MED","25568947","PMC4287625","10.1371/journal.pone.0117075","Variable Frequency of Plastid RNA Editing among Ferns and Repeated Loss of Uridine-to-Cytidine Editing from Vascular Plants.","Guo W, Grewe F, Mower JP.","PLoS One","1","10","2015","1932-6203","e0117075","journal article; research-article","Y","Y","N","0","Y","Y","N","N","Y","721.1275","gen",NA,"code.google.com"
"25646954","MED","25646954","PMC4315569","10.1371/journal.pntd.0003479","Describing the Breakbone Fever: IDODEN, an Ontology for Dengue Fever.","Mitraka E, Topalis P, Dritsou V, Dialynas E, Louis C.","PLoS Negl Trop Dis","2","9","2015","1935-2727","e0003479","journal article; research-article","Y","Y","N","0","N","Y","N","N","N","721.1275",NA,NA,"code.google.com"
"25452337","MED","25452337","PMC4288155","10.1093/nar/gku1242","Assessing the gene regulatory properties of Argonaute-bound small RNAs of diverse genomic origin.","Thomson DW, Pillman KA, Anderson ML, Lawrence DM, Toubia J, Goodall GJ, Bracken CP.","Nucleic Acids Res","1","43","2015","0305-1048","470-481","journal article; research-article","Y","Y","N","0","N","Y","N","N","N","721.1275",NA,NA,"code.google.com"
"25695053","MED","25695053","PMC4324891","10.1155/2015/234236","Automated training for algorithms that learn from genomic data.","Cilingir G, Broschat SL.","Biomed Res Int",NA,"2015","2015","2314-6133","234236","journal article; research-article","Y","Y","N","0","N","Y","N","N","N","721.1275",NA,NA,"code.google.com"
"25129841","MED","25129841","PMC4303741","10.1007/s12021-014-9240-7","IT Infrastructure to Support the Secondary Use of Routinely Acquired Clinical Imaging Data for Research.","Leung KY, van der Lijn F, Vrooman HA, Sturkenboom MC, Niessen WJ.","Neuroinformatics","1","13","2015","1539-2791","65-81","journal article; research-article","Y","Y","N","0","Y","Y","N","N","N","720.90704",NA,NA,"code.google.com"
"25635771","MED","25635771","PMC4312007","10.1371/journal.pone.0116435","Soil moisture estimation by assimilating L-band microwave brightness temperature with geostatistics and observation localization.","Han X, Li X, Rigon R, Jin R, Endrizzi S.","PLoS One","1","10","2015","1932-6203","e0116435","journal article; research-article","Y","Y","N","0","N","Y","N","N","N","720.90704",NA,NA,"code.google.com"
"25569183","MED","25569183","PMC4287989","10.1038/ncomms6751","A genome-wide association study of marginal zone lymphoma shows association to the HLA region.","Vijai J, Wang Z, Berndt SI, Skibola CF, Slager SL, de Sanjose S, Melbye M, Glimelius B, Bracci PM, Conde L, Birmann BM, Wang SS, Brooks-Wilson AR, Lan Q, de Bakker PI, Vermeulen RC, Portlock C, Ansell SM, Link BK, Riby J, North KE, Gu J, Hjalgrim H, Cozen W, Becker N, Teras LR, Spinelli JJ, Turner J, Zhang Y, Purdue MP, Giles GG, Kelly RS, Zeleniuch-Jacquotte A, Ennas MG, Monnereau A, Bertrand KA, Albanes D, Lightfoot T, Yeager M, Chung CC, Burdett L, Hutchinson A, Lawrence C, Montalvan R, Liang L, Huang J, Ma B, Villano DJ, Maria A, Corines M, Thomas T, Novak AJ, Dogan A, Liebow M, Thompson CA, Witzig TE, Habermann TM, Weiner GJ, Smith MT, Holly EA, Jackson RD, Tinker LF, Ye Y, Adami HO, Smedby KE, De Roos AJ, Hartge P, Morton LM, Severson RK, Benavente Y, Boffetta P, Brennan P, Foretova L, Maynadie M, McKay J, Staines A, Diver WR, Vajdic CM, Armstrong BK, Kricker A, Zheng T, Holford TR, Severi G, Vineis P, Ferri GM, Ricco R, Miligi L, Clavel J, Giovannucci E, Kraft P, Virtamo J, Smith A, Kane E, Roman E, Chiu BC, Fraumeni JF, Wu X, Cerhan JR, Offit K, Chanock SJ, Rothman N, Nieters A.","Nat Commun",NA,"6","2015","2041-1723","5751","journal article; research support, non-u.s. gov't; research support, n.i.h., extramural; research support, n.i.h., intramural; research support, u.s. gov't, p.h.s.; research-article","Y","Y","N","0","Y","Y","N","N","Y","720.90704","refsnp",NA,"code.google.com"
"PMC4332146","PMC",NA,"PMC4332146",NA,"Transcriptome sequencing and marker development for four underutilized legumes1.","Chapman MA.","Applications in Plant Sciences","2","3","2015","2168-0450",NA,"journal article; research-article","Y","Y","Y","0","N","Y","N","N","Y","500.82123","doi",NA,"code.google.com"
"PMC4334603","PMC",NA,"PMC4334603",NA,"Quantitative survey of multiple CpGs from 5 genes identifies CpG methylation panel discriminating between high- and low-grade cervical intraepithelial neoplasia.","Tian X, Chen D, Zhang R, Zhou J, Peng X, Yang X, Zhang X, Zheng Z.","Clin Epigenetics","1","7","2015","1868-7075",NA,"journal article; research-article","Y","Y","Y","0","N","Y","N","N","N","500.65588",NA,NA,"code.google.com"
"PMC4319394","PMC",NA,"PMC4319394",NA,"OpenCOR: a modular and interoperable approach to computational biology.","Garny A, Hunter PJ.","Frontiers in Physiology",NA,"6","2015","1664-042x",NA,"journal article; research-article","Y","Y","Y","0","N","Y","N","N","Y","500.49054","doi",NA,"code.google.com"
"PMC4335702","PMC",NA,"PMC4335702",NA,"Genome-wide survey and analysis of microsatellites in giant panda (Ailuropoda melanoleuca), with a focus on the applications of a novel microsatellite marker system.","Huang J, Li Y, Du L, Yang B, Shen F, Zhang H, Zhang Z, Zhang X, Yue B.","BMC Genomics","1","16","2015","1471-2164",NA,"journal article; research-article","Y","Y","Y","0","N","Y","N","N","Y","500.3252","gen",NA,"code.google.com"
"25260792","MED","25260792","PMC4242486","10.1186/preaccept-3452801621370693","Dynamic evolution of clonal epialleles revealed by methclone.","Li S, Garrett-Bakelman F, Perl AE, Luger SM, Zhang C, To BL, Lewis ID, Brown AL, D Andrea RJ, Ross M, Levine R, Carroll M, Melnick A, Mason CE.","Genome Biol","9","15","2014","1465-6906","472","journal article; research-article","Y","Y","N","0","Y","Y","N","N","N","366.37573",NA,NA,"code.google.com"
"24438387","MED","24438387","PMC3926306","10.1186/2041-1480-5-4","The epidemiology ontology: an ontology for the semantic annotation of epidemiological resources.","Pesquita C, Ferreira JD, Couto FM, Silva MJ.","J Biomed Semantics","1","5","2014","2041-1480","4","journal article; research-article","Y","Y","Y","0","Y","Y","N","N","N","366.25476",NA,NA,"code.google.com"
"23584085","MED","23584085","PMC4008935","10.1016/j.bbapap.2013.04.004","A tutorial for software development in quantitative proteomics using PSI standard formats.","Gonzalez-Galarza FF, Qi D, Fan J, Bessant C, Jones AR.","Biochim Biophys Acta","1 pt a","1844","2014","0006-3002","88-97","journal article; review; research support, non-u.s. gov't; review-article","Y","Y","Y","1","Y","Y","N","N","N","364.29367",NA,NA,"code.google.com"
"25494997","MED","25494997","PMC4268903","10.1186/s12859-014-0382-2","Masking as an effective quality control method for next-generation sequencing data analysis.","Yun S, Yun S.","BMC Bioinformatics","1","15","2014","1471-2105","382","journal article; research support, n.i.h., intramural; research-article","Y","Y","N","0","Y","Y","N","N","N","364.2223",NA,NA,"code.google.com"
"24940543","MED","24940543","PMC4052850","10.1364/boe.5.001822","Image simulation for biological microscopy: microlith.","Mehta SB, Oldenbourg R.","Biomed Opt Express","6","5","2014","2156-7085","1822-1838","journal article; research-article","N","Y","Y","0","Y","Y","N","N","N","354.84564",NA,NA,"code.google.com"
"25063469","MED","25063469","PMC4165373","10.1186/s13059-014-0410-6","Corset: enabling differential gene expression analysis for de novo assembled transcriptomes.","Davidson NM, Oshlack A.","Genome Biol","7","15","2014","1465-6906","410","journal article; research support, non-u.s. gov't; research-article","Y","Y","N","0","Y","Y","N","N","N","352.71725",NA,NA,"code.google.com"
"25002514","MED","25002514","PMC4115555","10.1073/pnas.1319778111","Modeling ecological drivers in marine viral communities using comparative metagenomics and network analyses.","Hurwitz BL, Westveld AH, Brum JR, Sullivan MB.","Proc Natl Acad Sci U S A","29","111","2014","0027-8424","10714-10719","journal article; research support, non-u.s. gov't; research support, u.s. gov't, non-p.h.s.; comparative study; research-article","N","Y","Y","3","Y","Y","N","N","N","352.24503",NA,NA,"code.google.com"
"25512502","MED","25512502","PMC4284551","10.1073/pnas.1410931111","Links that speak: the global language network and its association with global fame.","Ronen S, GonÃ§alves B, Hu KZ, Vespignani A, Pinker S, Hidalgo CA.","Proc Natl Acad Sci U S A","52","111","2014","0027-8424","e5616-22","journal article; research-article","N","Y","N","0","N","Y","N","N","N","351.72818",NA,NA,"code.google.com"
"24885854","MED","24885854","PMC4039540","10.1186/1471-2105-15-155","A method for increasing expressivity of Gene Ontology annotations using a compositional approach.","Huntley RP, Harris MA, Alam-Faruque Y, Blake JA, Carbon S, Dietze H, Dimmer EC, Foulger RE, Hill DP, Khodiyar VK, Lock A, Lomax J, Lovering RC, Mutowo-Meullenet P, Sawford T, Van Auken K, Wood V, Mungall CJ.","BMC Bioinformatics",NA,"15","2014","1471-2105","155","journal article; research support, non-u.s. gov't; research support, u.s. gov't, non-p.h.s.; research support, n.i.h., extramural; research-article","Y","Y","Y","0","Y","Y","N","N","N","351.72818",NA,NA,"code.google.com"
"25247892","MED","25247892","PMC4172526","10.1371/journal.pone.0107510","Taxamatch, an algorithm for near ('fuzzy') matching of scientific names in taxonomic databases.","Rees T.","PLoS One","9","9","2014","1932-6203","e107510","journal article; research support, non-u.s. gov't; research-article","Y","Y","N","0","Y","Y","N","N","N","349.5998",NA,NA,"code.google.com"
"25196437","MED","25196437","PMC4159855","10.3390/ijms150814364","Cross-species, amplifiable microsatellite markers for neoverrucid barnacles from deep-sea hydrothermal vents developed using next-generation sequencing.","Nakajima Y, Shinzato C, Khalturina M, Watanabe H, Inagaki F, Satoh N, Mitarai S.","Int J Mol Sci","8","15","2014","1422-0067","14364-14371","journal article; research support, non-u.s. gov't; research-article","Y","Y","N","0","Y","Y","N","N","N","349.5998",NA,NA,"code.google.com"
"24461215","MED","24461215","PMC3904415","10.1186/1751-0473-9-3","ROVER variant caller: read-pair overlap considerate variant-calling software applied to PCR-based massively parallel sequencing datasets.","Pope BJ, Nguyen-Dumont T, Hammet F, Park DJ.","Source Code Biol Med","1","9","2014","1751-0473","3","journal article; product-review","Y","Y","Y","0","Y","Y","N","N","N","349.5998",NA,NA,"code.google.com"
"25093075","MED","25093075","PMC4108922","10.1186/2041-1480-5-s1-s6","Preserving sequence annotations across reference sequences.","Tatum Z, Roos M, Gibson AP, Taschner PE, Thompson M, Schultes EA, Laros JF.","J Biomed Semantics","suppl 1 proceedings of the bio-ontologies spec interest","5","2014","2041-1480","s6","journal article; abstract","Y","Y","Y","0","Y","Y","N","N","N","348.86945",NA,NA,"code.google.com"
"24725457","MED","24725457","PMC3996109","10.1186/1559-0275-11-15","Glycoproteomic and glycomic databases.","Baycin Hizal D, Wolozny D, Colao J, Jacobson E, Tian Y, Krag SS, Betenbaugh MJ, Zhang H.","Clin Proteomics","1","11","2014","1542-6416","15","journal article; review; review-article","Y","Y","Y","2","Y","Y","N","N","N","347.98828",NA,NA,"code.google.com"
"24453971","MED","24453971","PMC3894214","10.1371/journal.ppat.1003877","Alphavirus mutator variants present host-specific defects and attenuation in mammalian and insect models.","Rozen-Gagnon K, Stapleford KA, Mongelli V, Blanc H, Failloux AB, Saleh MC, Vignuzzi M.","PLoS Pathog","1","10","2014","1553-7366","e1003877","journal article; research support, non-u.s. gov't; research-article","Y","Y","Y","5","Y","Y","N","Y","N","347.5474",NA,NA,"code.google.com"
"25140346","MED","25140346","PMC4130321","10.1155/2014/745640","CUDT: a CUDA based decision tree algorithm.","Lo WT, Chang YS, Sheu RK, Chiu CC, Yuan SM.","ScientificWorldJournal",NA,"2014","2014","2356-6140","745640","journal article; research support, non-u.s. gov't; research-article","Y","Y","Y","0","N","Y","N","N","N","347.47137",NA,NA,"code.google.com"
"25304126","MED","25304126","PMC4203924","10.1186/s12918-014-0115-1","A computational platform to maintain and migrate manual functional annotations for BioCyc databases.","Walsh JR, Sen TZ, Dickerson JA.","BMC Syst Biol","1","8","2014","1752-0509","115","journal article; research-article","Y","Y","N","0","Y","Y","N","N","N","347.47137",NA,NA,"code.google.com"
"25053142","MED","25053142","PMC4118789","10.1186/1756-0500-7-466","Suffix tree searcher: exploration of common substrings in large DNA sequence sets.","Minkley D, Whitney MJ, Lin SH, Barsky MG, Kelly C, Upton C.","BMC Res Notes",NA,"7","2014","1756-0500","466","journal article; research support, non-u.s. gov't; research support, u.s. gov't, p.h.s.; research-article","Y","Y","Y","0","Y","Y","N","N","Y","347.47137","gen",NA,"code.google.com"
"25409174","MED","25409174","PMC4237322","10.1371/journal.pone.0112074","Crowdsourcing dialect characterization through Twitter.","GonÃ§alves B, SÃ¡nchez D.","PLoS One","11","9","2014","1932-6203","e112074","journal article; research-article","Y","Y","N","0","Y","Y","N","N","N","347.47137",NA,NA,"code.google.com"
"24678381","MED","24678381","PMC3959915","10.5210/ojphi.v5i3.4996","Android and ODK based data collection framework to aid in epidemiological analysis.","Raja A, Tridane A, Gaffar A, Lindquist T, Pribadi K.","Online J Public Health Inform","3","5","2014","1947-2579","228","journal article; research-article","Y","Y","Y","1","Y","Y","N","N","N","347.47137",NA,NA,"code.google.com"
"24931995","MED","24931995","PMC4058932","10.1093/bioinformatics/btu288","RNA-Skim: a rapid method for RNA-Seq quantification at transcript level.","Zhang Z, Wang W.","Bioinformatics","12","30","2014","1367-4803","i283-i292","journal article; research support, u.s. gov't, non-p.h.s.; research support, n.i.h., extramural; research-article","Y","Y","Y","2","Y","Y","N","N","N","347.47137",NA,NA,"code.google.com"
"25368506","MED","25368506","PMC4214596","10.4137/cin.s14022","Quality Control for RNA-Seq (QuaCRS): An Integrated Quality Control Pipeline.","Kroll KW, Mokaram NE, Pelletier AR, Frankhouser DE, Westphal MS, Stump PA, Stump CL, Bundschuh R, Blachly JS, Yan P.","Cancer Inform","suppl 3","13","2014","1176-9351","7-14","journal article; research-article","Y","Y","N","0","Y","Y","N","N","N","347.47137",NA,NA,"code.google.com"
"25086916","MED","25086916","PMC4131492","10.1186/1472-6947-14-63","Multi-topic assignment for exploratory navigation of consumer health information in NetWellness using formal concept analysis.","Cui L, Xu R, Luo Z, Wentz S, Scarberry K, Zhang GQ.","BMC Med Inform Decis Mak",NA,"14","2014","1472-6947","63","journal article; research support, n.i.h., extramural; research-article","Y","Y","Y","0","Y","Y","N","N","N","347.47137",NA,NA,"code.google.com"
"24211736","MED","24211736","PMC3969109","10.1016/j.ymeth.2013.10.015","Hyb: a bioinformatics pipeline for the analysis of CLASH (crosslinking, ligation and sequencing of hybrids) data.","Travis AJ, Moody J, Helwak A, Tollervey D, Kudla G.","Methods","3","65","2014","1046-2023","263-273","journal article; research support, non-u.s. gov't; research-article","Y","Y","Y","1","Y","Y","N","N","N","347.47137",NA,NA,"code.google.com"
"25032683","MED","25032683","PMC4102409","10.1371/journal.pcbi.1003715","Characterizing the impact of category uncertainty on human auditory categorization behavior.","Gifford AM, Cohen YE, Stocker AA.","PLoS Comput Biol","7","10","2014","1553-734x","e1003715","journal article; research support, n.i.h., extramural; research-article","Y","Y","Y","0","Y","Y","N","N","N","347.36444",NA,NA,"code.google.com"
"25073721","MED","25073721","PMC4124153","10.1186/1471-2105-15-257","The BiSciCol Triplifier: bringing biodiversity data to the Semantic Web.","Stucky BJ, Deck J, Conlin T, Ziemba L, Cellinese N, Guralnick R.","BMC Bioinformatics","1","15","2014","1471-2105","257","journal article; research support, u.s. gov't, non-p.h.s.; research-article","Y","Y","Y","1","Y","Y","N","N","N","347.36444",NA,NA,"code.google.com"
"24917804","MED","24917804","PMC4042686","10.3389/fnhum.2014.00370","Pervasive brain monitoring and data sharing based on multi-tier distributed computing and linked data technology.","Zao JK, Gan TT, You CK, Chung CE, Wang YT, RodrÃ­guez MÃ©ndez SJ, Mullen T, Yu C, Kothe C, Hsiao CT, Chu SL, Shieh CK, Jung TP.","Front Hum Neurosci",NA,"8","2014","1662-5161","370","journal article; research-article","Y","Y","Y","1","Y","Y","N","N","N","347.36444",NA,NA,"code.google.com"
"23429179","MED","23429179","PMC3898906","10.1016/j.bbapap.2013.02.017","Controlled vocabularies and ontologies in proteomics: overview, principles and practice.","Mayer G, Jones AR, Binz PA, Deutsch EW, Orchard S, Montecchi-Palazzi L, VizcaÃ­no JA, Hermjakob H, Oveillero D, Julian R, Stephan C, Meyer HE, Eisenacher M.","Biochim Biophys Acta","1 pt a","1844","2014","0006-3002","98-107","journal article; review; research support, non-u.s. gov't; research support, n.i.h., extramural; research-article","Y","Y","Y","1","Y","Y","N","N","N","346.3479",NA,NA,"code.google.com"
"24495517","MED","24495517","PMC3978116","10.1186/2041-1480-5-5","BioHackathon series in 2011 and 2012: penetration of ontology and linked data in life science domains.","Katayama T, Wilkinson MD, Aoki-Kinoshita KF, Kawashima S, Yamamoto Y, Yamaguchi A, Okamoto S, Kawano S, Kim JD, Wang Y, Wu H, Kano Y, Ono H, Bono H, Kocbek S, Aerts J, Akune Y, Antezana E, Arakawa K, Aranda B, Baran J, Bolleman J, Bonnal RJ, Buttigieg PL, Campbell MP, Chen YA, Chiba H, Cock PJ, Cohen KB, Constantin A, Duck G, Dumontier M, Fujisawa T, Fujiwara T, Goto N, Hoehndorf R, Igarashi Y, Itaya H, Ito M, Iwasaki W, KalaÅ¡ M, Katoda T, Kim T, Kokubu A, Komiyama Y, Kotera M, Laibe C, Lapp H, LÃ¼tteke T, Marshall MS, Mori T, Mori H, Morita M, Murakami K, Nakao M, Narimatsu H, Nishide H, Nishimura Y, Nystrom-Persson J, Ogishima S, Okamura Y, Okuda S, Oshita K, Packer NH, Prins P, Ranzinger R, Rocca-Serra P, Sansone S, Sawaki H, Shin SH, Splendiani A, Strozzi F, Tadaka S, Toukach P, Uchiyama I, Umezaki M, Vos R, Whetzel PL, Yamada I, Yamasaki C, Yamashita R, York WS, Zmasek CM, Kawamoto S, Takagi T.","J Biomed Semantics","1","5","2014","2041-1480","5","journal article; review-article","Y","Y","Y","2","Y","Y","N","N","Y","345.85944","sprot",NA,"code.google.com"
"25346468","MED","25346468","PMC4209381","10.1038/srep06773","Network structure and community evolution on Twitter: human behavior change in response to the 2011 Japanese earthquake and tsunami.","Lu X, Brelsford C.","Sci Rep",NA,"4","2014","2045-2322","6773","journal article; research support, non-u.s. gov't; research support, u.s. gov't, non-p.h.s.; research-article","Y","Y","N","0","Y","Y","N","N","N","345.34302",NA,NA,"code.google.com"
"24987725","MED","24987725","PMC3985331","10.1155/2014/121782","Towards the novel reasoning among particles in PSO by the use of RDF and SPARQL.","Fister I Jr, Yang XS, LjubiÄ K, Fister D, Brest J, Fister I.","ScientificWorldJournal",NA,"2014","2014","2356-6140","121782","journal article; research-article","Y","Y","Y","0","N","Y","N","N","N","345.34302",NA,NA,"code.google.com"
"24983623","MED","24983623","PMC4077690","10.1371/journal.pone.0098001","optPBN: an optimisation toolbox for probabilistic Boolean networks.","Trairatphisan P, Mizera A, Pang J, Tantar AA, Sauter T.","PLoS One","7","9","2014","1932-6203","e98001","journal article; research support, non-u.s. gov't; research-article","Y","Y","Y","0","Y","Y","N","N","N","345.34302",NA,NA,"code.google.com"
"25295311","MED","25295311","PMC4177823","10.1155/2014/969628","A new sensors-based covert channel on android.","Al-Haiqi A, Ismail M, Nordin R.","ScientificWorldJournal",NA,"2014","2014","2356-6140","969628","journal article; research support, non-u.s. gov't; research-article","Y","Y","N","0","N","Y","N","N","N","345.34302",NA,NA,"code.google.com"
