"","full_name","description","language","created_at"
"33","tk2/RetroSeq","RetroSeq is a bioinformatics tool that searches for mobile element insertions from aligned reads in a BAM file and a library of reference transposable elements. Please read the wiki page (link below) for usage instructions. Also, there is a page on the wiki describing how the 1000 genomes CEU trio was carried out with the files and parameters used for the various steps.","Perl","2011-01-13T11:47:13Z"
"34","tk2/RetroSeq","RetroSeq is a bioinformatics tool that searches for mobile element insertions from aligned reads in a BAM file and a library of reference transposable elements. Please read the wiki page (link below) for usage instructions. Also, there is a page on the wiki describing how the 1000 genomes CEU trio was carried out with the files and parameters used for the various steps.","Perl","2011-01-13T11:47:13Z"
"35","julian-gehring/GMAP-GSNAP","*DEPREACATED and OUTDATED*: This was an inofficial archive of GMAP-GSNAP releases.  Please use the original website for current versions of the source code.","C","2011-12-07T08:16:05Z"
"36","loopasam/Brain","Library for biomedical knowledge manipulation","Java","2012-09-12T08:58:25Z"
"37","geoffjentry/twitteR","R based twitter client","R","2011-08-10T00:06:48Z"
"38","jeffreybreen/twitter-sentiment-analysis-tutorial-201107","Code to reproduce the simple sentiment analysis from my presentation","R","2011-07-13T01:28:04Z"
"39","percyliang/brown-cluster","C++ implementation of the Brown word clustering algorithm.","C++","2012-07-24T18:23:25Z"
"40","2mh/PyBioC","Python library for work with BioCreative files","Python","2013-09-01T21:47:54Z"
"41","2mh/PyBioC","Python library for work with BioCreative files","Python","2013-09-01T21:47:54Z"
"42","dongseop/simple_bioc","Simple BioC parser/builder for ruby","XML","2013-12-04T10:08:29Z"
"43","CovertLab/WholeCellSimDB","WholeCellDB is a hybrid SQL/HDF database for storing and retrieving whole-cell model predictions. ","Python","2013-02-28T05:53:03Z"
"44","mfcovington/SNPtools","","Perl","2013-07-25T21:49:46Z"
"45","MaloofLab/devisetty-g3-2014","",NA,"2014-05-14T22:46:07Z"
"46","mfcovington/vcf-generator","","Perl","2013-05-07T20:22:24Z"
"47","mytardis/mytardis-salt","MyTardis server configuration using Saltstack","Scheme","2014-01-29T03:59:58Z"
"48","shenlab-sinai/region_analysis","A python script used to annotate genomic intervals.","Python","2013-12-12T15:13:58Z"
"49","MG-RAST/matR","Metagenomics Analysis Tools","R","2012-03-13T19:16:08Z"
"50","aestrivex/cvu","Connectome visualization utility","Python","2012-12-07T20:59:25Z"
"51","aestrivex/cvu","Connectome visualization utility","Python","2012-12-07T20:59:25Z"
"52","namsyvo/RandAL","A Randomized Sequence Aligner","C++","2013-07-02T20:38:14Z"
"53","arq5x/bedtools2","A powerful toolset for genome arithmetic.","C++","2013-12-09T21:18:03Z"
"54","dariogf/SeqtrimNext","SeqtrimNEXT is a customizable and distributed pre-processing software for NGS (Next Generation Sequencing) biological data. It makes use of scbi_mapreduce gem to be able to run in parallel and distributed environments. It is specially suited for Roche 454 (normal and paired-end) & Ilumina datasets, although it could be easyly adapted to any other situation.","Ruby","2011-09-07T09:39:13Z"
"55","vsbuffalo/scythe","A 3'-end adapter contaminant trimmer","C","2011-02-03T03:19:01Z"
"56","scikit-image/scikit-image","Image Processing SciKit (Toolbox for SciPy)","Python","2011-07-07T22:07:20Z"
"57","numpy/numpy","Numpy main repository","C","2010-09-13T23:02:39Z"
"58","losonczylab/sima","Python package for analysis of dynamic fluorescence microscopy data","Python","2014-08-01T18:11:03Z"
"59","dnil/etiologica","Pipelines and decision support tools for Massively Parallel Human Medical Genetics","Shell","2011-09-01T11:59:11Z"
"60","jeffalstott/powerlaw","","Python","2012-01-30T03:17:09Z"
"61","sujaikumar/assemblage","Tools for working with second gen assemblies, fasta sequences, etc","Perl","2011-04-18T08:45:47Z"
"62","obophenotype/uberon","uber-anatomy ontology","Web Ontology Language","2010-03-16T06:12:09Z"
"63","obophenotype/uberon","uber-anatomy ontology","Web Ontology Language","2010-03-16T06:12:09Z"
"64","obophenotype/cephalopod-ontology","Ontology of cephalopod anatomy and traits","Web Ontology Language","2013-05-23T23:34:43Z"
"65","Sabryr/EGDMS","EGDMS",NA,"2014-02-06T19:50:29Z"
"66","phylogeography/SPREAD","Spatial Phylogenetic  Reconstruction of Evolutionary Dynamics","Java","2011-06-02T21:11:40Z"
"67","tknijnen/MSR","Multiscale representation of genomic signals","Matlab","2013-07-31T00:45:46Z"
"68","tanghaibao/goatools","Python scripts to find enrichment of GO terms","Python","2010-01-15T19:15:21Z"
"69","najoshi/sickle","Windowed Adaptive Trimming for fastq files using quality","C","2011-02-09T01:18:45Z"
"70","chipstewart/Spanner","","C++","2011-03-19T04:42:27Z"
"71","trvrb/flux","Integrating influenza antigenic dynamics with molecular evolution","TeX","2012-03-09T15:42:54Z"
"72","CampagneLaboratory/goby","Goby framework and tools for analysis of high-throughput sequencing data","Java","2012-06-02T14:49:55Z"
"73","CampagneLaboratory/goby","Goby framework and tools for analysis of high-throughput sequencing data","Java","2012-06-02T14:49:55Z"
"74","mojones/AfterParty2","","JavaScript","2011-10-05T16:15:27Z"
"75","mojones/AfterParty2","","JavaScript","2011-10-05T16:15:27Z"
"76","mojones/AfterParty2","","JavaScript","2011-10-05T16:15:27Z"
"77","mojones/AfterParty2","","JavaScript","2011-10-05T16:15:27Z"
"78","chemhack/jsmoleditor","JavaScript based molecule structure editor","Java","2009-03-21T11:52:19Z"
"79","larisa-soldatova/HELO","HELO (HypothEsis and Law Ontology) as described in the paper ""Representation of probabilistic scientific knowledge""",NA,"2013-01-02T09:55:51Z"
"80","bio2rdf/bio2rdf-scripts","Scripts that Bio2RDF users have created to generate RDF versions of scientific datasets","Java","2011-10-14T00:15:49Z"
"81","bio2rdf/bio2rdf-mapping","A community resource to develop ontologies to map Bio2RDF to community developed ontologies",NA,"2012-04-16T23:08:07Z"
"82","bio2rdf/bio2rdf-mapping","A community resource to develop ontologies to map Bio2RDF to community developed ontologies",NA,"2012-04-16T23:08:07Z"
"83","micheldumontier/php-lib","A PHP utility library","PHP","2012-01-04T16:07:01Z"
"84","vice87/gam-ngs","Genomic Assemblies Merger for NGS","C++","2011-10-21T14:47:04Z"
"85","arq5x/gemini","a lightweight db framework for disease and population genetics.","Python","2012-03-15T16:55:29Z"
"86","arq5x/gemini","a lightweight db framework for disease and population genetics.","Python","2012-03-15T16:55:29Z"
"87","lh3/wgsim","Reads simulator","C","2011-01-22T22:57:48Z"
"88","SciLifeLab/bcbio-nextgen-deploy","Suite of scripts to automatically deploy nextgen pipeline","Python","2012-10-19T09:11:31Z"
"89","aberer/RogueNaRok","A versatile and scalable algorithm for rogue taxon identification. Also includes implementations of the maximum agreement subtree, leaf stability index and taxonomic instability index","C","2011-10-05T19:23:14Z"
"90","lucmoreau/ProvToolbox","Java library to create and convert W3C PROV data model representations","Java","2011-08-30T15:32:29Z"
"91","adamewing/GRIPper","Find non-reference processed pseudogene insertions from discordant read pair mappings","Python","2012-05-11T01:29:41Z"
"92","adamewing/bamsurgeon","tools for adding mutations to existing .bam files, used for testing mutation callers","Python","2012-05-10T22:18:31Z"
"93","chapmanb/bcbio-nextgen","Validated, scalable, community developed variant calling and RNA-seq analysis","Python","2013-02-06T11:14:50Z"
"94","rproepp/spykeviewer","Spyke Viewer is a multi-platform GUI application for navigating, analyzing and visualizing electrophysiological datasets.","Python","2012-08-15T10:11:31Z"
"95","loopasam/Brain","Library for biomedical knowledge manipulation","Java","2012-09-12T08:58:25Z"
"96","IlincaTudose/OntoQuery","","JavaScript","2013-01-29T11:30:36Z"
"97","PopulationGenetics/amptools","Tools for dealing with amplicon experiments","Python","2011-10-10T12:35:53Z"
"98","lgatto/CambRlogo","The code behind the CambR logo","R","2013-04-08T15:53:12Z"
"99","klusta-team/klustaviewa","GUI for spike sorting manual stage in Python","Python","2013-03-20T22:56:42Z"
"100","rossant/galry","High-performance interactive visualization in Python","Python","2012-10-19T22:12:26Z"
"101","rossant/galry-benchmarks","","Python","2013-10-27T22:07:02Z"
"102","pcm32/FASTLipid","","Java","2013-01-17T15:52:00Z"
"103","edumbill/doap","RDF schema for describing software projects","C#","2009-05-13T12:03:15Z"
"104","dbcls/bh11","Repository for BioHackathon 2011",NA,"2011-08-17T12:17:41Z"
"105","peterdesmet/vascan-data-paper","Data paper for the Database of Vascular Plants of Canada (VASCAN)",NA,"2013-07-19T14:47:10Z"
"106","modENCODE-DCC/Galaxy","modENCODE Galaxy on Amazon Cloud","Shell","2012-12-09T21:44:49Z"
"107","taoliu/MACS","MACS -- Model-based Analysis of ChIP-Seq","Python","2011-03-02T19:40:25Z"
"108","bjpop/favr","Filtering and Annotation of Variants that are Rare","Python","2011-12-12T23:23:08Z"
"109","EBI-Metabolights/ISAcreatorPlugins","Plugins developed for use in the ISAcreator. They should be placed in a 'Plugins' directory in the ISAcreator build environment.","Java","2011-10-03T14:36:10Z"
"110","blaxterlab/blobology","Tools for making blobplots or Taxon-Annotated-GC-Coverage plots (TAGC plots) to visualise the contents of genome assembly data sets as a QC step","Perl","2013-09-30T21:57:22Z"
"111","mojones/blobsplorer","javascript tool for exploring taxonomically-annotated blob plots and selecting points","CSS","2013-04-01T14:37:41Z"
"112","DmitryBaranovskiy/raphael","JavaScript Vector Library","JavaScript","2008-09-02T05:34:33Z"
"113","mfiers/hagfish","Hagfish - assess an assembly through creative use of coverage plots ","Python","2010-07-13T03:07:49Z"
"114","krm15/ACME","This repository contains open-source C++ code for reconstructing membranes from time-lapse confocal/2-photon image data. Please refer to the webpage below for detailed instructions, precompiled binaries, and sample data for testing the code.","C++","2012-04-09T19:51:33Z"
"115","gturco/find_cns","find conserved non-coding sequences (CNS)","Python","2011-02-09T05:03:40Z"
"116","gturco/find_cns","find conserved non-coding sequences (CNS)","Python","2011-02-09T05:03:40Z"
"117","tanghaibao/quota-alignment","Guided synteny alignment between duplicated genomes (within specified quota constraint)","Python","2010-02-08T18:00:21Z"
"118","compmem/desolver","Genetic function optimization via differential evolution in Python.","Python","2009-12-24T03:39:22Z"
"119","timothyv/Physiological-Log-Extraction-for-Modeling--PhLEM--Toolbox","PhLEM is a Matlab toolbox written to extract physiological recordings during MRI scanning and estimate the signal phases so that they can be used as a covariate in your general linear model (GLM) for functional brain imaging.",NA,"2011-07-18T15:29:29Z"
"120","LiU-IMT/EEE","A REST based Educational EHR Environment based on openEHR","JavaScript","2012-05-30T16:00:02Z"
"121","dsturg/Spanki","Splicing analysis toolkit for RNA-SEQ","Python","2012-04-02T19:09:21Z"
"122","dsturg/Spanki","Splicing analysis toolkit for RNA-SEQ","Python","2012-04-02T19:09:21Z"
"123","ffi/ffi","Ruby FFI","C","2009-08-05T20:28:18Z"
"124","mikechambers/as3corelib"," An ActionScript 3 Library that contains a number of classes and utilities for working with ActionScript? 3. These include classes for MD5 and SHA 1 hashing, Image encoders, and JSON serialization as well as general String, Number and Date APIs.","ActionScript","2010-07-28T17:05:33Z"
"125","usm/usm.github.com","Universal Sequence Maps","JavaScript","2011-09-05T23:22:29Z"
"126","usm/usm.github.com","Universal Sequence Maps","JavaScript","2011-09-05T23:22:29Z"
"127","stefan-hoeck/chemf","A purely functional cheminformatics toolkit written in Scala","Scala","2012-08-22T09:39:55Z"
"128","odj/Ouch","Ouch Uses Chemical Haskell","Haskell","2010-06-01T17:58:41Z"
"129","harrah/xsbt","*NOTE* sbt has moved to the sbt organization!","Scala","2013-01-05T01:49:53Z"
"130","jstjohn/SimSeq","An illumina paired-end and mate-pair short read simulator. This project attempts to model as many of the quirks that exist in Illumina data as possible. Some of these quirks include the potential for chimeric reads, and non-biotinylated fragment pull down in mate-pair libraries . Additionally the program provides the ability to model both site and base specific error, and scripts are provided to train this error model on real datasets. My hope in creating this program is to generate as realistic data as possible to assist in assessing the accuracy of genome assembly tools.","C","2010-11-24T18:48:25Z"
"131","VarioML/VarioML","supporting the integration, federation, and exchange of Variation Data ","Java","2011-06-01T09:10:52Z"
"132","VarioML/VarioML","supporting the integration, federation, and exchange of Variation Data ","Java","2011-06-01T09:10:52Z"
"133","cmungall/obo-scripts","standalone perl scripts for hacking obo files","Perl","2010-03-06T22:43:53Z"
"134","quwubin/MFEprimer","MFEprimer-2.0: A fast thermodynamics-based program for checking PCR primer specificity","Python","2011-03-22T02:47:30Z"
"135","quwubin/MFEprimer","MFEprimer-2.0: A fast thermodynamics-based program for checking PCR primer specificity","Python","2011-03-22T02:47:30Z"
"136","quwubin/MFEprimer","MFEprimer-2.0: A fast thermodynamics-based program for checking PCR primer specificity","Python","2011-03-22T02:47:30Z"
"137","imagejs/imagejs.github.com","Personalized, participated, pervasive, and reproducible image bioinformatics in the web browser","JavaScript","2011-12-23T14:38:10Z"
"138","jonasalmeida/webrw","webrw for node.js","JavaScript","2012-03-27T17:25:25Z"
"139","ebadedude/webrw","A collection of tools that help you to grab URL content and also index the URLs","PHP","2011-07-19T14:41:05Z"
"140","GlobalNamesArchitecture/taxamatch_rb","Implementation of Tony Rees' Taxamatch algorithms","Ruby","2010-07-08T15:00:40Z"
"141","mbl-cli/NetiNeti","scientific name finding machine learning tool","Python","2011-03-10T21:05:20Z"
"142","minillinim/SaSSY","Short read assembler for illumina-type DNA sequence data","C++","2011-03-08T05:19:10Z"
"143","cplaisier/miRvestigator_www","A web server version of the miRvestigator framework.","Python","2010-10-23T18:41:56Z"
"144","cplaisier/miRvestigator_standalone","Stand alone version of miRvestigator HMM that takes as input a FASTA stlyed PSSM file.","Python","2011-04-14T18:42:48Z"
"145","GlobalNamesArchitecture/biodiversity","Scientific Name Parser","Ruby","2010-07-08T15:01:30Z"
"146","nickloman/entrezajax","EntrezAJAX - Direct Web Browser Access to the Entrez Programming Utilities","Python","2010-04-15T10:18:31Z"
"147","devrkel/IPRStats","A statistical tool that eases the analysis of InterProScan results by generating charts and tables with links to additional information.","Python","2010-06-01T14:57:18Z"
"148","devrkel/IPRStats","A statistical tool that eases the analysis of InterProScan results by generating charts and tables with links to additional information.","Python","2010-06-01T14:57:18Z"
"149","lg/murder","Large scale server deploys using BitTorrent and the BitTornado library","Python","2010-01-21T07:05:36Z"
"150","arrayexpress/ae-interface","ArrayExpress Archive Web Interface","Web Ontology Language","2010-03-03T11:53:00Z"
"151","arq5x/nanopore-scripts","Various scripts and recipes for working with nanopore data ","Python","2014-09-12T00:38:11Z"
"152","arq5x/nanopore-scripts","Various scripts and recipes for working with nanopore data ","Python","2014-09-12T00:38:11Z"
"153","ruping/TRUP","Tumor-specimen suited RNA-seq Unified Pipeline","Perl","2012-02-07T13:34:26Z"
"154","jamesware/APPRAISE","A Bayesian framework for the analysis and interpretation of rare genetic variants","R","2014-11-24T17:21:43Z"
"155","tanghaibao/jcvi","Python utility libraries on genome assembly, annotation and comparative genomics","Python","2010-12-01T23:18:02Z"
"156","openpencil/regeval","A systematic evaluation of high-dimensional, ensemble based regression for exploring large model spaces in microbiome analyses.","R","2014-06-15T07:17:31Z"
"157","shpakoo/YAP","Yet Another Pipeline","Python","2012-02-07T00:15:28Z"
"158","btjaden/Rockhopper","For computational analysis of bacterial RNA-seq data",NA,"2014-11-06T16:57:19Z"
"159","CREBP/SRA","Project based at the Bond University Center for Research in Evidence-Based Practice (CREBP) with the aim of drastically reducing the time to construct a Systematic Review.","PHP","2013-06-21T03:42:35Z"
"160","sje30/g2chvc","Genes to Cognition: Hippocampus vs Cortex project","R","2014-07-16T10:06:50Z"
"161","ekg/vcflib","a simple C++ library for parsing and manipulating VCF files, + many command-line utilities","C++","2010-09-22T23:25:59Z"
"162","PacificBiosciences/pbdagcon","A sequence consensus algorithm implementation based on using directed acyclic graphs to encode multiple sequence alignment","Python","2013-03-04T22:09:05Z"
"163","JeroenSmaers/evomap","R package for evolutionary mapping of continuous traits","R","2014-12-07T21:03:56Z"
"164","Ensembl/ensembl-rest","Language agnostic RESTful data access to Ensembl data over HTTP","Perl","2013-12-13T00:40:15Z"
"165","Ensembl/ensembl-rest","Language agnostic RESTful data access to Ensembl data over HTTP","Perl","2013-12-13T00:40:15Z"
"166","Caged/d3-tip","d3 tooltips","JavaScript","2012-01-07T22:22:34Z"
"167","kbroman/qtlcharts","R/qtlcharts: An R package for interactive QTL graphics","CoffeeScript","2013-06-28T10:18:14Z"
"168","mloop/kdiff-type1-error-rate","","R","2014-11-03T15:49:25Z"
"169","mloop/kdiff-type1-error-rate","","R","2014-11-03T15:49:25Z"
"170","LifeWatchINBO/norms-for-data-use","Norms for data use and publication",NA,"2014-07-17T10:24:16Z"
"171","LifeWatchINBO/vis-inland-occurrences","Dataset: VIS - Fishes in inland waters in Flanders, Belgium",NA,"2014-01-28T15:20:39Z"
"172","LifeWatchINBO/vis-estuarine-occurrences","Dataset: VIS - Fishes in estuarine waters in Flanders, Belgium",NA,"2014-02-04T08:26:32Z"
"173","MG-RAST/MG-RAST-Tools","Repository of script tools, examples, and contributed code for using the MG-RAST API","Python","2013-08-20T14:42:15Z"
"174","SCAU-AnimalGenetics/GPOPSIM","a simulation tool for pedigree, phenotypes, and genome data, with a varity of population and genome structures and trait genetic architectures.","FORTRAN","2014-10-06T02:11:04Z"
"175","claczny/VizBin","Repository of our application for human-augmented binning","Java","2014-06-25T13:59:39Z"
"176","claczny/VizBin","Repository of our application for human-augmented binning","Java","2014-06-25T13:59:39Z"
"177","TheSEED/RASTtk-Distribution","KBase distribution module for RASTtk",NA,"2014-09-22T17:29:27Z"
"178","kbase/genome_annotation","The genome annotation service provides automated gene annotation based on the RAST system. This deploys both client and service components.","Perl","2014-05-16T19:54:28Z"
"179","counsyl/hgvs","HGVS variant name parsing and generation","Python","2013-10-22T05:18:32Z"
"180","GenomeRef/SoftwareDevTracking","A site to track software development efforts for using the full GRC assemblies",NA,"2014-09-26T16:20:04Z"
"181","anbena/4p","Parallel Processing of Polymorphism Panels","C","2013-09-24T10:19:25Z"
"182","morrislab/phylosub","","Python","2014-02-04T00:10:01Z"
"183","genome/sciclone","An R package for inferring the subclonal architecture of tumors","R","2013-02-14T18:50:00Z"
"184","andrej-fischer/cloneHD","High-definition reconstruction of clonal composition from next-generation sequencing data","C++","2014-01-03T08:15:20Z"
"185","raphael-group/THetA","Tumor Heterogeneity Analysis (THetA) is an algorithm that estimates the tumor purity and clonal/subclonal copy number aberrations directly from high-throughput DNA sequencing data. Please note that the latest release is now called THetA2.","Python","2014-01-16T21:29:48Z"
"186","atofigh/hotmix","HOT mixture model of cancer progression","C++","2013-09-27T18:39:04Z"
"187","evogytis/fluB","Investigating the (co)evolution of reassorting influenza B lineages.","TeX","2013-05-23T08:55:06Z"
"188","evogytis/fluB","Investigating the (co)evolution of reassorting influenza B lineages.","TeX","2013-05-23T08:55:06Z"
"189","apolitis/eif3","Data and scripts to model eIF3 from MS data",NA,"2014-09-27T16:47:06Z"
"190","apolitis/ms_benchmark","Benchmark for the sampling procedure used in the Mass Spec paper",NA,"2014-09-27T16:46:37Z"
"191","InstitutoDOr/FriendENGINE","FRIEND engine is a new implementation of the FRIEND software, a fMRI neurofeedback  processing package, already available on the NITRC repository","C++","2014-07-29T16:17:53Z"
"192","guillaumelobet/rhizoponics","Script and blue prints for the Rhizoponic setup","R","2015-01-05T11:06:42Z"
"193","PIRCImagingTools/sfDM","","Python","2014-07-23T15:26:31Z"
"194","kmhernan/Publications","Repository for scripts associated with a publication","Python","2013-07-29T18:24:08Z"
"195","davidbryantlowry/panicumhalliiqtlmapping","Panicum hallii genetic mapping","Perl","2013-04-21T20:57:43Z"
"196","JFP-Laboratory/mBio-2015","Contains files from Pombert et al. (2015) mBio 6(1):e02400-14","Perl","2014-12-30T16:38:28Z"
"197","limno/illumitag","Pipeline for analyzing 16S rRNA Illumina paired-end amplicon sequencing","Python","2014-05-08T17:38:03Z"
"198","Vityay/DWAC-Seq","Dynamic Window Approach for Copy Number analysis using Sequencing data",NA,"2012-03-20T12:40:47Z"
"199","Molmed/Berglund-Lindqvist-2013","","Python","2013-09-19T11:56:14Z"
"200","beamandrew/BNN","Bayesian Neural Networks","Python","2013-07-07T21:12:28Z"
"201","evoeco/radtools","RAD-Seq tools","Perl","2014-09-25T11:29:43Z"
"202","grofte/NAMI","GUI-based Python program for thermal shift assay data analysis and interpretation","Python","2014-06-25T09:09:27Z"
"203","DrLiang/FastGCN","FastGCN for gene co-expression network","R","2014-12-10T03:55:11Z"
"204","zhengxwen/SNPRelate","R package: parallel computing toolset for relatedness and principal component analysis of SNP data","C++","2014-06-08T05:00:50Z"
"205","josephhughes/HCVtoolbox","Tools and scripts used in various HCV projects","Perl","2013-09-18T11:28:28Z"
"206","bramzandbelt/exgauss","Simple toolbox for fitting the ex-Gaussian distribution to response time data","Matlab","2014-01-08T16:56:30Z"
"207","meren/illumina-utils","A library and collection of scripts to work with Illumina paired-end data (for CASAVA 1.7+ pipeline).","Python","2011-08-25T20:36:01Z"
"208","ngscomparison/NGS-Benchtop-Comparison","Repository for scripts and data","Perl","2012-07-30T11:39:52Z"
"209","pcingola/BigDataScript","BigDataScript: Scirpting language for big data","Java","2013-03-03T18:00:45Z"
"210","ocisse/Pneumocystis_comparative","Pneumocystis comparative analysis","Perl","2014-06-11T15:43:27Z"
"211","bbarker/COBRAscripts","Collection(s) of scripts mostly built around the COBRA Toolbox.","Matlab","2014-01-27T11:56:11Z"
"212","camwebb/tree-of-trees","Megatree construction from component trees, associated with phylomatic",NA,"2012-05-24T06:33:50Z"
"213","sebmate/OntoImportSuite","The ""OntoImportSuite"" is a set of proof-of-concept tools to extract and process heterogeneous data from clinical system, like the electronic medical record. This data can be mapped and transformed to match a set of common data elements, which will then be exported into a target system (i2b2) for research purposes. The system uses OWL ontologies to store information about the source and target systems and the mapping and transformation knowledge. The OWL ontologies are then translated into SQL scripts to perform the data integration on the database level.","Java","2014-12-12T08:30:17Z"
"214","emarinier/pollux","","C","2014-11-04T19:29:58Z"
"215","ucdavis-bioinformatics/sickle","Windowed Adaptive Trimming for fastq files using quality","C","2011-02-09T17:14:21Z"
"216","dhimmel/elevcan","Elevation and Cancer Incidence","R","2014-07-08T01:03:53Z"
"217","brwnj/seqanno","Retrieves read counts originating at a given genomic sequence and allows further characterization.","Python","2012-12-12T17:35:43Z"
"218","agordon/fastx_toolkit","FASTA/FASTQ pre-processing programs","C","2013-11-08T13:03:39Z"
"219","ship561/sampled-ensemble-neutrality","","Clojure","2014-11-03T23:15:15Z"
"220","nrzabet/ChIPseqProfile","R scripts for the http://arxiv.org/abs/1404.5544 paper","R","2014-07-17T15:50:58Z"
"221","MattNolanLab/Ramsden_MEC","Registration pipeline for Allen Brain Atlas data","C","2014-10-12T23:43:03Z"
"222","oleg-alexandrov/projects","A place to keep track of minor scripts and useful stuff to not rewrite them each time","Shell","2012-10-22T20:28:00Z"
"223","lduvaux/Duvaux_et_al_2014","Copy number variation and speciation in Pea Aphid. A collaboration with Ludovic Duvaux <l.duvaux@sheffield.ac.uk>.","R","2014-04-03T16:17:35Z"
"224","cambDI/camb","chemistry aware model builder","C++","2013-10-02T11:08:21Z"
"225","isidroc/FingerprintCalculator","Morgan Fingerprint Calculator","Python","2014-03-05T16:03:29Z"
"226","gburleigh/MatrixConverter","","Java","2015-01-06T21:57:36Z"
"227","gburleigh/MatrixConverter","","Java","2015-01-06T21:57:36Z"
"228","Pinnipeds/Mirounga_transcriptome","Elephant seal acute stress muscle transcriptome",NA,"2014-08-16T22:42:09Z"
"229","brettc/partitionfinder","PartitionFinder discovers optimal partitioning schemes for DNA sequences.","C","2011-07-02T15:37:11Z"
"230","roblanf/PartitionedAlignments","publicly availalbe datasets set up for use with PartitionFinder","Python","2013-02-13T22:53:23Z"
"231","klamens/viral-pipeline","","Perl","2014-09-03T11:51:51Z"
"232","mauracasey/RNA-sequencing","Repository containing all custom pipeline, perl scripts and R scripts used for RNA-sequencing data analyses","Perl","2014-08-06T14:45:34Z"
"233","arq5x/lumpy-sv","lumpy: a general probabilistic framework for structural variant discovery","C","2012-10-08T09:09:26Z"
"234","GregoryFaust/SVsim","SVsim: a tool that generates synthetic Structural Variant calls as benchmarks to test/evaluate SV calling pipelines.",NA,"2014-05-01T17:59:11Z"
"235","cc2qe/speedseq","Rapid alignment and variant calling pipeline","C","2014-02-08T17:10:30Z"
"236","aschlosberg/CompressGV","DEFLATE compression algorithm corrects for overestimation of phylogenetic diversity by Grantham approach to single-nucleotide polymorphism classification","C","2013-06-15T08:26:39Z"
"237","kkentzo/pso","Particle Swarm Optimization (PSO) in C","C","2013-03-12T17:17:04Z"
